Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.cl.clcore.json	33173	-	1	0	0	0	0	0	4	79	0	0	0	0	0	0	0	1	0	0	151	116	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-CSCodRegionCL.json	2028	7	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	14	1792	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ImmunizationCL.json	10508	13	0	0	0	0	0	267	0	277	0	0	1	0	0	0	0	1	0	0	388	1862	0	0	0	11	1	1
fsh-generated/resources/StructureDefinition-DocumentoCl.json	14778	20	0	0	0	0	0	288	0	258	0	0	0	0	0	0	0	1	0	0	706	2078	0	0	0	13	0	2
fsh-generated/resources/StructureDefinition-TiposVacunaRNI.json	2143	4	0	0	0	0	0	27	0	20	0	0	0	0	0	0	0	0	0	0	47	147	0	0	0	2	0	0
fsh-generated/resources/ValueSet-VSCodigoslenguaje.json	843	2	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	6	3901	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSCodigosComunaCL.json	969	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	47	0	0	0	0	0	0
fsh-generated/resources/Patient-PacienteCl-3.json	3872	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-222.json	285	2	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-RazonNOrealizarse.json	1852	3	0	0	0	0	0	17	0	14	0	0	0	0	0	0	0	0	0	0	42	151	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CoreLocalizacionCl.json	11516	12	0	0	0	0	0	149	0	142	0	0	0	0	0	0	0	1	0	0	386	1139	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-ComunasCl.json	2333	4	0	0	0	0	0	34	0	27	0	0	0	0	0	0	0	0	0	0	89	241	0	0	0	2	0	0
fsh-generated/resources/ValueSet-VSNombreCampana.json	895	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	34	0	0	0	0	0	0
fsh-generated/resources/Location-3333458.json	52	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCodigoVacunas.json	8087	11	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	46	31	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSCodSSalud.json	3256	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	25	0	0	0	0	0	0
fsh-generated/resources/Immunization-999.json	313	2	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/Patient-PacienteCl-5.json	5557	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCodComunasCL.json	23374	39	0	0	0	0	0	0	1	74	0	0	0	0	0	0	0	0	0	0	130	55	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-CSEspecialidadesDeisCL.json	6031	9	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	1	0	0	37	29	0	0	0	1	0	0
fsh-generated/resources/Medication-MedicamentoCl-2.json	769	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/Immunization-ImmunizationCL.json	1762	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSTiposDocClinic.json	1254	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	42	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-SegundoApellido.json	1334	3	0	0	0	0	0	18	0	17	0	0	0	0	0	0	0	0	0	0	41	94	0	0	0	1	0	0
fsh-generated/resources/ValueSet-VSCodMadurez.json	1159	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	28	0	0	0	0	0	0
fsh-generated/resources/RequestGroup-RG12224.json	97	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCodigoDNI.json	3046	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	19	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSCodProvinciasCL.json	4454	7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	26	25	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-CSCodMadurez.json	1086	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	20	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ServicioSalud.json	2112	3	0	0	0	0	0	19	0	17	0	0	0	0	0	0	0	0	0	0	48	105	0	0	0	1	0	0
fsh-generated/resources/PractitionerRole-EspecialidadCL.json	969	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-CorePrestadorCl.json	19793	21	0	0	0	0	0	266	0	320	0	0	1	0	0	0	0	1	0	0	778	2191	0	1	0	16	0	0
fsh-generated/resources/Bundle-BundleEx.json	616	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0
fsh-generated/resources/Condition-1112.json	100	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-CodigoPaises.json	2291	4	0	0	0	0	0	34	0	35	0	0	0	0	0	0	0	0	0	0	89	226	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-cl-address.json	6237	9	0	0	0	0	0	53	0	55	0	0	0	0	0	0	0	0	0	0	138	334	0	0	0	2	0	0
fsh-generated/resources/Composition-CompositionCl-CarlosSalas.json	3032	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ProvenanceCl.json	8623	9	0	0	0	0	0	141	0	138	0	0	0	0	0	0	0	1	0	0	399	1152	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-VSEspecialidadesDeisCL.json	2097	4	0	0	0	0	0	15	1	17	0	0	0	0	0	0	0	0	0	0	48	168	0	0	0	1	0	0
fsh-generated/resources/Observation-123.json	172	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0
fsh-generated/resources/ValueSet-VSTiposEncuentroCL.json	866	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	36	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-TiposServicio.json	1724	3	0	0	0	0	0	11	0	11	0	0	0	0	0	0	0	0	0	0	41	110	0	0	0	0	0	0
fsh-generated/resources/Patient-PacienteCl-4.json	5557	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-csrazonnoencuentro.json	1785	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	25	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BundleCl.json	3825	4	0	0	0	0	0	85	0	58	0	0	0	0	0	0	0	0	0	0	180	619	0	0	0	3	0	0
