/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/AuditEvent-AuditEventEx.json: line 26, col 8, Info - Reference to experimental item http://terminology.hl7.org/CodeSystem/extra-security-role-type|0.2.0 (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/Composition-CompositionCl-CarlosSalas.json: line 93, col 6, Info - This element does not match any known slice defined in the profile https://hl7chile.cl/fhir/ig/clcore/StructureDefinition/DocumentoCl|1.8.3 (INFORMATIONAL)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/Encounter-EncounterCL.json: line 23, col 10, Info - Code System URI 'https://minsal.cl/fhir/HD/CodeSystem/CSTiposEncuentroCL' is unknown so the code cannot be validated (UNKNOWN)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/Encounter-EncounterCL.json: line 38, col 8, Info - Code System URI 'https://minsal.cl/fhir/HD/CodeSystem/CSCodigoServicio' is unknown so the code cannot be validated (UNKNOWN)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/Immunization-ImmunizationCL.json: line 43, col 10, Info - Code System URI 'https://minsal.cl/fhir/HD/CodeSystem/CSCodSSalud' is unknown so the code cannot be validated (UNKNOWN)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/ImplementationGuide-hl7.fhir.cl.clcore.json: line 1, col 46257, Warning - Rule ig-0: 'Name should be usable as an identifier for the module by machine processing applications such as code generation' Failed (INVARIANT)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/Medication-MedicamentoCl.json: line 24, col 8, Info - Code System URI 'http://minsal.cl/semantikos/description-id' is unknown so the code cannot be validated (UNKNOWN)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/Medication-MedicamentoCl-2.json: line 24, col 8, Info - Code System URI 'http://minsal.cl/semantikos/description-id' is unknown so the code cannot be validated (UNKNOWN)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/Practitioner-3240.json: line 30, col 12, Info - This element does not match any known slice defined in the profile https://hl7chile.cl/fhir/ig/clcore/StructureDefinition/CorePrestadorCl|1.8.3 (INFORMATIONAL)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/Practitioner-3240.json: line 47, col 12, Info - Code System URI 'https://api.minsal.cl/v1/catalogos/profesiones/' is unknown so the code cannot be validated (UNKNOWN)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/Practitioner-3240.json: line 64, col 12, Info - Code System URI 'https://api.minsal.cl/v1/catalogos/tiposEspecialidadMedica/' is unknown so the code cannot be validated (UNKNOWN)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/Practitioner-3240.json: line 81, col 12, Info - Code System URI 'https://api.minsal.cl/v1/catalogos/tiposEspecialidadMedica/' is unknown so the code cannot be validated (UNKNOWN)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-CodigoPaises.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-CodigoPaises.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-ComunasCl.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-ComunasCl.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-ContactoParticipantes.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-CorePacienteCl.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this profile (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-IdContacto.json: line 0, col 0, Warning - Review the extension type: extensions should not have a context of Element unless it's really intended that they can be used anywhere (BUSINESSRULE)
/Users/jorgemansilla/IGs/GG/clcore_publish/temp/hl7.fhir.cl.clcore#1.8.3/fsh-generated/resources/StructureDefinition-IdContacto.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
